Model_Title,Model_Name,Model_Description,Model_Type,Model_Download_link_Type,Model_Download_link,VAE_Download_link_Type,VAE_Download_link
Latex's Abandoned Style,Latex's Abandoned Style (torrent),"This style is based on the artist Latex, an artist who used to do latex/latex tf but one day completely changed their art style, scrubbed their old images from most of the internet, and moved away from making latex (but kept the name ironically). Luckily I have a dump of their old art, so finally there is a way to remake one of my favorite styles of latex/goo art. I have attached some quick imperfect gens to check a look at. Im sure you guys will surpass me very very quickly.
Phrase in prompt: latex_artist art",Dreambooth,torrent,magnet:?xt=urn:btih:d14d31cbddbd3a1be01d4e89012495fe779fda2e&dn=Latex.zip&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fopen.tracker.cl%3a1337%2fannounce,,
Latex's Abandoned Style,Latex's Abandoned Style (generate),"This style is based on the artist Latex, an artist who used to do latex/latex tf but one day completely changed their art style, scrubbed their old images from most of the internet, and moved away from making latex (but kept the name ironically). Luckily I have a dump of their old art, so finally there is a way to remake one of my favorite styles of latex/goo art. I have attached some quick imperfect gens to check a look at. Im sure you guys will surpass me very very quickly.
Phrase in prompt: latex_artist art",Dreambooth,generate,Pixeldrain: https://pixeldrain.com/u/9kNKHCSz,,
Belle Dephine [32cbf6c8],Belle Dephine [32cbf6c8] (torrent),"Dreambooth NSFW
Keyword Belle girl_cute_face",Dreambooth,torrent,magnet:?xt=urn:btih:29a87b4cfa2c3868b54fe382103ad17881b5f868&dn=Belle%20girl_cute_face%20v2%205k.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zerobytes.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.novaopcj.eu.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.monitorit4.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.encrypted-data.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.army%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.altrosky.nl%3a6969%2fannounce,,
Belle Dephine [32cbf6c8],Belle Dephine [32cbf6c8] (gdrive),"Dreambooth NSFW
Keyword Belle girl_cute_face",Dreambooth,gdrive,https://drive.google.com/file/d/1hcv-2kznXDYAnUDwUrQm6gHIrUQ0j9bZ/view?usp=share_link,,
Cal Arts Style,Cal Arts Style (huggingface),"Info & samples https://publicprompts.art/cal-arts-dreambooth-model/
Trigger phrase: CALARTS",Dreambooth,huggingface,https://huggingface.co/PublicPrompts/CALARTS/resolve/main/CALARTS.ckpt,,
Pixel Landscapes V1,Pixel Landscapes V1 (huggingface),"Info & samples https://publicprompts.art/pixel-landscapes-v1-dreambooth-model/
Trigger phrase: 16-bit-landscape pixel art style",Dreambooth,huggingface,https://huggingface.co/PublicPrompts/16-bit-landscape_PublicPrompts/resolve/main/16-bit-landscape_PublicPrompts.ckpt,,
Pixel Landscapes V1,Pixel Landscapes V1 (gdrive),"Info & samples https://publicprompts.art/pixel-landscapes-v1-dreambooth-model/
Trigger phrase: 16-bit-landscape pixel art style",Dreambooth,gdrive,https://drive.google.com/file/d/113V4jfwlgCsAKiMLPgpj0hfdZk1sV5cL/view,,
MicroWorlds,MicroWorlds (mega),"Info & samples https://publicprompts.art/microworlds-dreambooth-model/
Trigger phrase: microworld render style",Dreambooth,mega,https://mega.nz/file/7YJRFbxS#FmTrxB4ayFxUaBz-wiVxHov3YLAUFhObR2JyVwq_p_o,,
MicroWorlds,MicroWorlds (gdrive),"Info & samples https://publicprompts.art/microworlds-dreambooth-model/
Trigger phrase: microworld render style",Dreambooth,gdrive,https://drive.google.com/file/d/1QTUATU3WbYIWX-6ECRypCi1z9TOsXIhG/view?usp=sharing,,
App Icons Generator V1,App Icons Generator V1 (gdrive),"Info & samples https://publicprompts.art/app-icons-generator-v1-dreambooth-model/
Trigger phrase: SKSKS app icon",Dreambooth,gdrive,https://drive.google.com/file/d/1TNZTQfk0CNZg7nwy033olwOpQAkcglAN/view?usp=sharing,,
